"businessName","email","street","city","state","zip","phone","websiteURL","lat","lon","state.name","agency.name"
"Acworth Police Department Jail","","4400 Acworth Industrial Dr NW","Acworth","GA","30101","(770) 974-0295","","34.062786","-84.66042","Georgia","Acworth Police Dept"
"Albany Police Dept","","201 W Oglethorpe Blvd","Albany","GA","31701","(229) 878-3141","","31.57536","-84.15138","Georgia","Albany Police Dept"
"Alpharetta City Administration","","2 S Main St","Alpharetta","GA","30009","(678) 297-6010","","34.075134","-84.293655","Georgia","Alpharetta Police Dept"
"Americus City Police Department","","135 E Lamar St","Americus","GA","31709","(229) 924-3677","","32.07215","-84.23066","Georgia","Americus Police Dept"
"Athens Clarke County Georgia Unified Government","","3035 Lexington Rd","Athens","GA","30605","(706) 208-1935","","33.94151","-83.32765","Georgia","Athens-Clarke County Police Department"
"Atlanta Police Dept","","258 Pryor St SW","Atlanta","GA","30303","(404) 612-4733","","33.747696","-84.39381","Georgia","Atlanta Police Dept"
"Bainbridge Police Department","","510 E Louise St","Bainbridge","GA","39819","(229) 248-2038","","30.893698","-84.572105","Georgia","Bainbridge Police Dept"
"Baldwin County Sheriff","","119 Old Monticello Rd NW","Milledgeville","GA","31061","(478) 445-4891","","33.081585","-83.30702","Georgia","Baldwin County Sheriff Department"
"Barrow County Sheriff Dept","","33 Woodlawn Ave","Winder","GA","30680","(770) 307-3080","","33.99278","-83.72248","Georgia","Barrow County Sheriff Department"
"Georgia State of-- Human Services Department of 2 Peachtree St Nw Atlanta-- Local Child Support Enforcement Offices For Metro Atlanta-- County-- Bartow County-- Bartow County Mr Services","","11 Johnson Ln NE","Cartersville","GA","30121","(770) 387-3730","","34.219776","-84.79148","Georgia","Bartow County Sheriff Department"
"Bibb County Sheriff","","5797 Houston Rd","Macon","GA","31216","(478) 784-7121","","32.741425","-83.67494","Georgia","Bibb County Sheriff Department"
"Brunswick Police Department","","700 Gloucester St","Brunswick","GA","31520","(912) 280-6960","","31.1496","-81.49338","Georgia","Brunswick Police Dept"
"Bulloch County Board of Education","","156 Langston Chapel Rd","Statesboro","GA","30458","(912) 212-8724","","32.398396","-81.8083","Georgia","Bulloch County Sheriff Department"
"Calhoun Police Dept","","200 N Wall St","Calhoun","GA","30701","(706) 629-1234","","34.50374","-84.9511","Georgia","Calhoun Police Dept"
"Canton Police Dept","","221 E Marietta St","Canton","GA","30114","(770) 720-4883","","34.23404","-84.49034","Georgia","Canton (Cherokee Co) Police Dept"
"Carroll County Recreation Dept","","1201 Newnan Rd","Carrollton","GA","30116","(770) 830-5902","","33.562923","-85.042175","Georgia","Carroll County Sheriff Department"
"Carrollton City Police Department","","115 W Center St","Carrollton","GA","30117","(770) 834-4451","","33.577175","-85.07555","Georgia","Carrollton Police Dept"
"Cartersville City Police Dept","","402 Martin Luther King Jr Dr","Cartersville","GA","30120","(770) 382-4973","","34.17602","-84.792206","Georgia","Cartersville Police Dept"
"Catoosa County Sheriff","","312 Lafayette St","Ringgold","GA","30736","(706) 935-2323","","34.913883","-85.11725","Georgia","Catoosa County Sheriff Department"
"Chamblee Police Dept","","3518 Broad St","Atlanta","GA","30341","(770) 986-5008","","33.89518","-84.29839","Georgia","Chamblee Police Dept"
"Chatham County","","295 Police Memorial Dr","Savannah","GA","31405","(912) 644-4010","","32.05914","-81.1656","Georgia","Chatham County Police Department"
"Cherokee County Sheriff","","1083 Marietta Hwy","Canton","GA","30114","(770) 345-1700","","34.230453","-84.50009","Georgia","Cherokee County Sheriff Department"
"College Park Police Department","","3717 College St","Atlanta","GA","30337","(404) 761-3131","","33.654037","-84.45129","Georgia","City Of College Park Police Dept"
"Clayton County Police Department","","1331 Citizens Pkwy","Morrow","GA","30260","(770) 477-3556","","33.559677","-84.346115","Georgia","Clayton County Police Department"
"Cobb County Police Dept","","140 N Marietta Pkwy NE","Marietta","GA","30060","(770) 499-3900","","33.958946","-84.548134","Georgia","Cobb County Police Department"
"Coffee County Sheriff","","825 Thompson Dr","Douglas","GA","31535","(912) 384-4227","","31.514631","-82.89165","Georgia","Coffee County Sheriff Department"
"Colquitt County Coroner Office","","COURTHOUSE Anx","Moultrie","GA","31768","(229) 616-7012","","31.179941","-83.78884","Georgia","Colquitt County Sheriff Department"
"Sheriff's Dept-Detention Fclty","","2273 County Camp Rd","Appling","GA","30802","(706) 541-0754","","33.537415","-82.30875","Georgia","Columbia County Sheriff Department"
"Columbus Police Dept","","1441 Benning Dr # 3","Columbus","GA","31903","(706) 653-6205","","32.426884","-84.94456","Georgia","Columbus Police Dept"
"Conyers Police Records Dept","","1194 Scott St SE","Conyers","GA","30012","(770) 483-6600","","33.65778","-84.01753","Georgia","Conyers Police Dept"
"City of Cordele","","501 N 7th St","Cordele","GA","31015","(229) 273-3102","","31.973974","-83.78278","Georgia","Cordele Police Dept"
"Covington Police Department","","1143 Oak St SE","Covington","GA","30014","(770) 786-7605","","33.59503","-83.857666","Georgia","Covington Police Dept"
"Coweta County Sheriff Dept","","55 Literary Ln","Newnan","GA","30265","(770) 254-8922","","33.38623","-84.67039","Georgia","Coweta County Sheriff Department"
"City of Dallas","","120 Main St","Dallas","GA","30132","(770) 443-8100","","33.92395","-84.84106","Georgia","Dallas Police Dept"
"Dalton City Police Department","","405 Sequoyah Pl","Dalton","GA","30721","(706) 275-8839","","34.776325","-84.95707","Georgia","Dalton Police Dept"
"Decatur City Police Department","","312 Church St","Decatur","GA","30030","(404) 377-7911","","33.773354","-84.29494","Georgia","Decatur Police Dept"
"Dekalb County Public Safety","","772 Camp Dr","Decatur","GA","30032","(404) 297-3904","","33.77391","-84.23993","Georgia","Dekalb County Public Safety Department"
"Douglas County Sheriff's Dept","","8470 Earl D Lee Blvd","Douglasville","GA","30134","(770) 942-2121","","33.74847","-84.722","Georgia","Douglas County Sheriff Department"
"Douglas Police Dept","","210 Jackson St W","Douglas","GA","31533","(912) 384-2222","","31.511145","-82.85139","Georgia","Douglas Police Dept"
"Douglasville Police Department","","2083 Fairburn Rd","Douglasville","GA","30135","(770) 920-3010","","33.74845","-84.70507","Georgia","Douglasville Police Dept"
"Dublin Police Department","","346 S Jefferson St","Dublin","GA","31021","(478) 277-5023","","32.536785","-82.90238","Georgia","Dublin Police Dept"
"Duluth Police Dept","","3276 Buford Highway","Duluth","GA","30096","(770) 476-4151","","33.9975","-84.14773","Georgia","Duluth Police Dept"
"East Point Police Dept","","2727 E Point St","Atlanta","GA","30344","(404) 761-2177","","33.680363","-84.441635","Georgia","East Point Police Dept"
"Effingham Co Middle School","","1659 Ga Highway 119 S","Guyton","GA","31312","(912) 772-7001","","32.34622","-81.356255","Georgia","Effingham"
"Fairburn City Police Department","","191 SW Broad St","Fairburn","GA","30213","(770) 964-1441","","33.56213","-84.585175","Georgia","Fairburn Police Dept"
"Fayette County Sheriff's Office","","155 Johnson Ave","Fayetteville","GA","30214","(770) 461-6353","","33.446495","-84.45334","Georgia","Fayette County Sheriff Department"
"Fayetteville Police Dept","","760 Jimmie Mayfield Blvd","Fayetteville","GA","30215","(770) 461-4441","","33.43459","-84.446724","Georgia","Fayetteville Police Dept"
"Floyd County Sheriff's Department","","3 Government Plz # 110","Rome","GA","30161","(706) 314-0710","","34.25553","-85.17145","Georgia","Floyd County Police Department"
"Little Ocmulgee Park Office","","80 Live Oak Trl","Helena","GA","31037","(229) 868-2832","","32.09372","-82.89004","Georgia","Forest Park Dept Of Public Safety"
"Forsyth County Sheriff Department","","201 E Maple St","Cumming","GA","30040","(678) 513-5982","","34.205894","-84.13812","Georgia","Forsyth County Sheriff Department"
"Fulton County Government","","860 Marietta Blvd NW","Atlanta","GA","30318","(404) 613-0358","","33.777912","-84.42665","Georgia","Fulton County Police Department"
"Gainesville City Police Department","","645 Main St SW","Gainesville","GA","30501","(770) 531-6883","","34.294575","-83.82404","Georgia","Gainesville Police Dept"
"Gilmer County Sheriff Patrol","","1563 S Main St","Ellijay","GA","30540","(706) 515-2868","","34.676624","-84.493935","Georgia","Gilmer County Sheriff Department"
"State Patrol Office","","6102 New Jesup Hwy","Brunswick","GA","31523","(912) 262-2380","","31.240925","-81.542145","Georgia","Glynn County Police Department"
"Gordon County Emergency Management","","4543 Fairmount Hwy SE","Calhoun","GA","30701","(706) 602-2905","","34.4613","-84.90948","Georgia","Gordon County Sheriff Department"
"Griffin City Police Department","","868 W Poplar St","Griffin","GA","30224","(770) 229-6451","","33.24597","-84.27656","Georgia","Griffin Police Dept"
"Gwinnett County Planning & Development","","446 W Crogan St","Lawrenceville","GA","30046","(678) 518-6000","","33.952404","-83.99739","Georgia","Gwinnett County Police Department"
"Habersham Road Dept","","Highway 115 E","Clarkesville","GA","30523","(706) 839-0185","","34.615273","-83.54616","Georgia","Habersham County Sheriff Department"
"Hall County Sheriff Civil Div","","225 Green St SE","Gainesville","GA","30501","(770) 531-7090","","34.29912","-83.82491","Georgia","Hall County Sheriff Department"
"Harris County Sheriff","","9825 Hwy 116, Hamilton, GA 31811","Hamilton","GA","31811","(706) 628-7136","","32.75791","-84.87493","Georgia","Harris County Sheriff Department"
"Failure: Henry Police Dept Georgia Status: 500","Failure: Henry Police Dept Georgia Status: 500","Failure: Henry Police Dept Georgia Status: 500","Failure: Henry Police Dept Georgia Status: 500","Failure: Henry Police Dept Georgia Status: 500","Failure: Henry Police Dept Georgia Status: 500","Failure: Henry Police Dept Georgia Status: 500","Failure: Henry Police Dept Georgia Status: 500","Failure: Henry Police Dept Georgia Status: 500","Failure: Henry Police Dept Georgia Status: 500","Failure: Henry Police Dept Georgia Status: 500","Failure: Henry Police Dept Georgia Status: 500"
"Hinesville Police Dept","","123 E Ml King Jr Dr","Hinesville","GA","31313","(912) 368-8211","","31.84664","-81.59563","Georgia","Hinesville Police Dept"
"Houston County Sanitation Dept","","2018 Kings Chapel Rd","Perry","GA","31069","(478) 987-4299","","32.46588","-83.70113","Georgia","Houston County Sheriff Department"
"Jackson County Sheriffs Office","","555 Stan Evans Dr","Jefferson","GA","30549","(706) 367-6000","","34.117054","-83.57239","Georgia","Jackson County Sheriff Department"
"Jesup City Police Department","","266 E Walnut St","Jesup","GA","31546","(912) 427-1300","","31.603483","-81.878395","Georgia","Jesup City Police Dept"
"Jones County Sheriff","","123 Holmes Hawkins Dr","Gray","GA","31032","(478) 986-3489","","33.00307","-83.53293","Georgia","Jones County Sheriff Department"
"Kennesaw Police Dept","","2539 J O Stephenson Ave NW","Kennesaw","GA","30144","(770) 422-2505","","34.02344","-84.6171","Georgia","Kennesaw Police Dept"
"Kingsland Police Dept","","111 Seaboard St","Kingsland","GA","31548","(912) 729-8254","","30.79882","-81.69084","Georgia","Kingsland Police Dept"
"Lagrange City Police Department","","100 W Haralson St","Lagrange","GA","30240","(706) 883-2620","","33.040783","-85.03108","Georgia","Lagrange Police Dept"
"Laurens County Schools","","1799 Ga Highway 117","Rentz","GA","31075","(478) 984-4276","","32.404873","-82.96726","Georgia","Laurens County Sheriff Department"
"Sugar Hill Police Dept","","770 Hi Hope Rd","Lawrenceville","GA","30043","(770) 513-5000","","33.986237","-83.9726","Georgia","Lawrenceville Police Dept"
"Lee County Fire Dept","","342 Leslie Hwy","Leesburg","GA","31763","(229) 759-6090","","31.748016","-84.15899","Georgia","Lee County Sheriff Department"
"Lilburn City Police Department","","76 Main St NW","Lilburn","GA","30047","(770) 921-2211","","33.88595","-84.13446","Georgia","Lilburn Police Dept"
"Loganville Police Dept","","607 Berta Ct","Loganville","GA","30052","(770) 466-1165","","33.82622","-83.91475","Georgia","Loganville Police Dept"
"Lowndes County of-- Sheriff's Office 120 Prison Farm Rd 31601-- Courts","","327 N Ashley St","Valdosta","GA","31601","(229) 333-5154","","30.83326","-83.27909","Georgia","Lowndes County Sheriff Department"
"Lumpkin County Sheriff's Office & Detention Center","","385 E Main St","Dahlonega","GA","30533","(706) 864-0414","","34.534065","-83.98016","Georgia","Lumpkin County Sheriff Department"
"Macon Police Dept","","682 Cherry St # 200","Macon","GA","31201","(478) 751-7505","","32.837337","-83.63027","Georgia","Macon Police Dept"
"Madison County Sheriff","","1436 Highway 98 W","Danielsville","GA","30633","(706) 795-9845","","34.142757","-83.23584","Georgia","Madison County Sheriff Department"
"Marietta Police Dept","","240 Lemon St NE","Marietta","GA","30060","(770) 794-5300","","33.95528","-84.54602","Georgia","Marietta Police Dept"
"City Of McDonough Police Dept Administration","","88 Keys Ferry St","Mcdonough","GA","30253","(770) 957-1218","","33.44722","-84.14402","Georgia","Mc Donough Police Dept"
"Baldwin County District Attorney","","121 N Wilkinson St Ste 305","Milledgeville","GA","31061","(478) 445-5261","","33.08233","-83.22914","Georgia","Milledgeville Police Dept"
"Monroe Police Dept Admin","","116 S Broad St","Monroe","GA","30655","(770) 267-7576","","33.79426","-83.71312","Georgia","Monroe Police Dept"
"Morven Police Dept","","178 2nd St","Morven","GA","31638","(229) 775-2475","","30.94273","-83.49851","Georgia","Moultrie Co Police Dept"
"Murray County Recreation Dept","","651 Hyden Tyler Rd","Chatsworth","GA","30705","(706) 695-7359","","34.79195","-84.75418","Georgia","Murray County Sheriff Department"
"Newnan City Of","","25 Jefferson St","Newnan","GA","30263","(770) 254-2350","","33.376736","-84.79928","Georgia","Newnan Police Dept"
"Newton County Health Department","","8203 Hazelbrand Rd NE","Covington","GA","30014","(770) 786-9086","","33.59989","-83.83561","Georgia","Newton County Sheriff Department"
"Oconee County Personnel Department","","23 N Main St","Watkinsville","GA","30677","(706) 769-3999","","33.86262","-83.40872","Georgia","Oconee County Sheriff Department"
"Paulding County Sheriffs Department","","247 Industrial Way N","Dallas","GA","30132","(770) 443-3010","","33.946518","-84.81701","Georgia","Paulding County Sheriff Department"
"City of Brookhaven Police Police Department","","10 Perimeter Summit Blvd NE","Atlanta","GA","30319","(404) 847-0950","","33.913635","-84.34116","Georgia","Peachtree City Police Dept"
"Perry Fire Department","","1207 Washington St","Perry","GA","31069","(478) 988-2800","","32.4618","-83.73355","Georgia","Perry Police Dept"
"Pickens County Fire Department","","1350 A W Lawson Blvd","Jasper","GA","30143","(706) 692-4801","","34.452106","-84.450516","Georgia","Pickens County Sheriff Department"
"Polk County Emergency Mgmt","","55 Cline Ingram Jackson Rd","Cedartown","GA","30125","(770) 748-3439","","34.01679","-85.21602","Georgia","Polk County Police Department"
"Pooler City Police Department","","119 US Highway 80 W","Pooler","GA","31322","(912) 748-7333","","32.116116","-81.24885","Georgia","Pooler Police Dept"
"Powder Springs Water Dept","","4488 Pineview Dr","Powder Springs","GA","30127","(770) 943-8000","","33.85996","-84.68438","Georgia","Powder Springs Police Dept"
"Richmond County Animal Control","","4164 Mack Ln","Augusta","GA","30906","(706) 790-6836","","33.373505","-82.05196","Georgia","Richmond"
"Forest Park Police Dept","","320 Cash Memorial Blvd","Forest Park","GA","30297","(404) 608-2366","","33.607533","-84.37996","Georgia","Riverdale Police Dept"
"Rockdale County Water Dept","","958 Milstead Ave NE","Conyers","GA","30012","(770) 278-7550","","33.66866","-84.01708","Georgia","Rockdale County Sheriff Department"
"Rome Police Dept","","5 Government Plz Ste 300","Rome","GA","30161","(706) 238-5111","","34.25596","-85.17074","Georgia","Rome Police Dept"
"Roswell Fire Dept","","38 Hill St","Roswell","GA","30075","(770) 641-3727","","34.021656","-84.360634","Georgia","Roswell Police Dept"
"Savannah Police Dept","","102 E Lathrop Ave","Savannah","GA","31415","(912) 651-6990","","32.084614","-81.11203","Georgia","Savannah Police Dept"
"City County Village Township Police Department","","2646 Atlanta Rd SE","Smyrna","GA","30080","(678) 631-5388","","33.88843","-84.51584","Georgia","Smyrna Police Dept"
"Snellville City Police Dept","","2315 Wisteria Dr","Snellville","GA","30078","(770) 985-3555","","33.859028","-84.01399","Georgia","Snellville Police Dept"
"Fire Dept Spalding County","","600 Carver Rd","Griffin","GA","30224","(770) 228-2129","","33.23184","-84.29762","Georgia","Spalding County Sheriff Department"
"St Marys City Police Department","","563 Point Peter Rd","Saint Marys","GA","31558","(912) 882-4488","","30.75644","-81.55124","Georgia","St. Marys Police Dept"
"Statesboro Police Dept","","22 W Grady St","Statesboro","GA","30458","(912) 764-9911","","32.445255","-81.78603","Georgia","Statesboro Police Dept"
"City Hall","","330 Town Center Ave","Suwanee","GA","30024","(770) 945-8996","","34.055923","-84.06346","Georgia","Suwanee Police Dept"
"Thomasville City Police Department","","921 Smith Ave","Thomasville","GA","31792","(229) 227-3302","","30.835451","-83.96532","Georgia","Thomasville Police Dept"
"Tifton Police Department","","130 5th St E","Tifton","GA","31794","(229) 382-3132","","31.450092","-83.511154","Georgia","Tifton City Police Dept"
"Troup County Health Department","","101 New Franklin Rd","Lagrange","GA","30240","(706) 845-4409","","33.05541","-85.02864","Georgia","Troup County Sheriff Department"
"Albany Police Dept","","201 W Oglethorpe Blvd","Albany","GA","31701","(229) 878-3141","","31.57536","-84.15138","Georgia","Union City Police Dept"
"Honorable Richard M Cowart","","327 N Ashley St","Valdosta","GA","31601","(229) 333-7620","","30.83326","-83.27909","Georgia","Valdosta Police Dept"
"Vidalia Police Dept","","804 E 4th St","Vidalia","GA","30474","(912) 538-7347","","32.210217","-82.406525","Georgia","Vidalia Police Dept"
"Villa Rica Police Dept","","101 Main St","Villa Rica","GA","30180","(678) 785-1100","","33.731388","-84.918335","Georgia","Villa Rica Police Dept"
"Walker County Sheriff Department","","103 S Main St","La Fayette","GA","30728","(706) 638-1874","","34.704487","-85.282074","Georgia","Walker County Sheriff Department"
"Walton County Health Dept","","1404 S Madison Ave","Monroe","GA","30655","(770) 207-4125","","33.773224","-83.70009","Georgia","Walton County Sheriff Department"
"Warner Robins Police Dept","","800 S Young Ave","Warner Robins","GA","31093","(478) 929-1170","","32.62129","-83.60755","Georgia","Warner Robins Police Dept"
"Ware County Planning and Codes Department/ Ware County Police Department","","118 Albany Ave","Waycross","GA","31501","(912) 287-4379","","31.21358","-82.35453","Georgia","Waycross Police Dept"
"Whitfield County Offices Sheriffs Department","","Dalton, 30719","Dalton","GA","30719","(706) 275-7450","","34.817825","-84.9495","Georgia","Whitefield County Sheriff Department"
"Winder City Police Department","","94 N Broad St","Winder","GA","30680","(770) 867-2156","","33.992657","-83.720375","Georgia","Winder Police Dept"
"City Of Woodstock","","103 Arnold Mill Rd","Woodstock","GA","30188","(770) 591-0696","","34.10129","-84.51844","Georgia","Woodstock Police Dept"
"Hilo Val-Hala Apartments","","120 Puueo St","Hilo","HI","96720","(808) 961-3545","","19.730038","-155.08977","Hawaii","Hilo"
"Honolulu City & County Police Department","","801 South St","Honolulu","HI","96813","(808) 529-3386","","21.30282","-157.85706","Hawaii","Honolulu Police Dept"
"Ada County Sheriff's Office - Jail","","7255 Barrister Dr","Boise","ID","83704","(208) 577-3440","","43.60666","-116.27118","Idaho","Ada County Sheriff Department"
"Bingham County Sheriff-Detective","","501 N Maple St","Blackfoot","ID","83221","(208) 785-7840","","43.19401","-112.34415","Idaho","Bingham County Sheriff Department"
"Blackfoot Police Dept","","501 N Maple St # 410","Blackfoot","ID","83221","(208) 785-1234","","43.19401","-112.34415","Idaho","Blackfoot Police Dept"
"Boise Police Dept","","1121 W Miller St","Boise","ID","83702","(208) 331-3940","","43.61388","-116.21074","Idaho","Boise Police Dept"
"Bonner County Sheriff's Dept","","4001 N Boyer Ave","Sandpoint","ID","83864","(208) 263-8417","","48.294563","-116.55703","Idaho","Bonner County Sheriff Department"
"Caldwell Police Department","","605 Main St","Caldwell","ID","83605","(208) 455-3122","","43.66767","-116.689255","Idaho","Caldwell Police Dept"
"Sheriff-Criminal Investigation","","1115 Albany St","Caldwell","ID","83605","(208) 454-7480","","43.665188","-116.68245","Idaho","Canyon County Sheriff Department"
"Shoshone-Bannock Tribes Police Department","","2 Hiline Rd","Pocatello","ID","83202","(208) 238-4003","","42.896393","-112.44473","Idaho","Chubbuck Police Dept"
"Coeur D'alene Street Mntnc","","3800 N Ramsey Rd","Coeur D Alene","ID","83815","(208) 769-2320","","47.713924","-116.80802","Idaho","Coeur D'Alene Police Dept"
"Coeur D'alene Street Mntnc","","3800 N Ramsey Rd","Coeur D Alene","ID","83815","(208) 769-2320","","47.713924","-116.80802","Idaho","Garden Police Dept"
"Idaho Falls City Police Department","","911 N Skyline Dr","Idaho Falls","ID","83402","(208) 529-1110","","43.504124","-112.063255","Idaho","Idaho Falls Police Dept"
"Jerome City Police Dept","","124 S Lincoln Ave","Jerome","ID","83338","(208) 324-1911","","42.723892","-114.51843","Idaho","Jerome Police Dept"
"Lewiston Police Dept","","1224 F St","Lewiston","ID","83501","(208) 746-0171","","46.418114","-117.018394","Idaho","Lewiston Police Dept"
"Meridian Police Dept","","1401 E Watertower St","Meridian","ID","83642","(208) 888-6678","","43.60055","-116.3774","Idaho","Meridian Police Dept"
"Moscow City Police Department","","118 E 4th St","Moscow","ID","83843","(208) 882-2677","","46.731724","-117.00132","Idaho","Moscow Police Dept"
"City of Mountain Home","","2775 E 8th N","Mountain Home","ID","83647","(208) 587-2101","","43.138428","-115.66809","Idaho","Mountain Home Police Dept"
"Nampa City Police Department","","211 12th Ave S","Nampa","ID","83651","(208) 465-2233","","43.577953","-116.5609","Idaho","Nampa Police Dept"
"Pocatello City Finance Department","","911 N 7th Ave","Pocatello","ID","83201","(208) 234-6214","","42.873947","-112.448524","Idaho","Pocatello Police Dept"
"Post Falls Recreation Dept","","408 N Spokane St","Post Falls","ID","83854","(208) 773-8147","","47.711082","-116.9481","Idaho","Post Falls Police Dept"
"Madison County Welfare","","134 E Main St # 102","Rexburg","ID","83440","(208) 356-3191","","43.82609","-111.77997","Idaho","Rexburg Police Dept"
"Twin Falls Police Records Dept","","356 3rd Ave E","Twin Falls","ID","83301","(208) 735-7225","","42.554905","-114.46512","Idaho","Twin Falls Police Deparment"
"Addison Police Department","","3 Friendship Plz","Addison","IL","60101","(630) 543-3080","","41.933083","-87.99293","Illinois","Addison Police Dept"
"Algonquin Police Dept","","2200 Harnish Dr","Algonquin","IL","60102","(847) 658-4531","","42.16439","-88.32657","Illinois","Algonquin Police Dept"
"Crestwood Village Police Department","","4500 W 123rd St","Alsip","IL","60803","(708) 385-5131","","41.669186","-87.73157","Illinois","Alsip Police Dept"
"East Alton Police Department","","211 N Shamrock St","East Alton","IL","62024","(618) 259-6212","","38.882565","-90.110565","Illinois","Alton Police Dept"
"Antioch Police Dept","","475 E Il Route 173","Antioch","IL","60002","(847) 838-1216","","42.474953","-88.100945","Illinois","Antioch Police Dept"
"Arlington Heights Police Department","","200 East Sigwalt Street","Arlington Heights","IL","60005","(847) 368-5300","","42.080997","-87.980286","Illinois","Arlington Heights Police Dept"
"Aurora Police Dept","","1200 E Indian Trl","Aurora","IL","60505","(630) 256-5000","","41.78231","-88.287575","Illinois","Aurora Police Dept"
"Failure: Barrington Police Dept Illinois Status: 500","Failure: Barrington Police Dept Illinois Status: 500","Failure: Barrington Police Dept Illinois Status: 500","Failure: Barrington Police Dept Illinois Status: 500","Failure: Barrington Police Dept Illinois Status: 500","Failure: Barrington Police Dept Illinois Status: 500","Failure: Barrington Police Dept Illinois Status: 500","Failure: Barrington Police Dept Illinois Status: 500","Failure: Barrington Police Dept Illinois Status: 500","Failure: Barrington Police Dept Illinois Status: 500","Failure: Barrington Police Dept Illinois Status: 500","Failure: Barrington Police Dept Illinois Status: 500"
"Village of Hanover Park Police Department","","2011 W Lake St","Hanover Park","IL","60133","(630) 823-5500","","41.98874","-88.15128","Illinois","Bartlett Police Dept"
"Batavia Police Dept","","100 N Island Ave","Batavia","IL","60510","(630) 454-2500","","41.85132","-88.30835","Illinois","Batavia Police Dept"
"Lenzburg Police Dept","","700 N 5th St","Belleville","IL","62220","(618) 277-3500","","38.520805","-89.99116","Illinois","Belleville Police Dept"
"Bellwood Health Department","","3200 Washington Blvd","Bellwood","IL","60104","(708) 547-3500","","41.88184","-87.872375","Illinois","Bellwood Police Dept"
"Belvidere Police Dept","","601 N Main St","Belvidere","IL","61008","(815) 544-9626","","42.26495","-88.84556","Illinois","Belvidere Police Dept"
"Bensenville Police Dept","","345 E Green St","Bensenville","IL","60106","(630) 350-3455","","41.953728","-87.93472","Illinois","Bensenville Police Dept"
"Berwyn Police Dept","","6401 31st St","Berwyn","IL","60402","(708) 795-5600","","41.8361","-87.78313","Illinois","Berwyn Police Dept"
"Glendale Heights Police Department","","300 E Fullerton Ave","Glendale Heights","IL","60139","(630) 260-6070","","41.9177","-88.07653","Illinois","Bloomingdale Police Dept"
"Bloomington Police Department","","305 S East St","Bloomington","IL","61701","(309) 820-8888","","40.476826","-88.99197","Illinois","Bloomington Police Dept"
"Blue Island Police Dept","","13031 Greenwood Ave","Blue Island","IL","60406","(708) 597-8601","","41.65624","-87.68259","Illinois","Blue Island Police Dept"
"Bolingbrook Village Hall","","375 W Briarcliff Rd","Bolingbrook","IL","60440","(630) 226-8400","","41.698193","-88.08093","Illinois","Bolingbrook Police Dept"
"Aroma Park Village Police Department","","PO Box 117","Bradley","IL","60915","(815) 937-1240","","41.14219","-87.86285","Illinois","Bourbonnais Police Dept"
"Bradley Police Dept","","147 S Michigan Ave","Bradley","IL","60915","(815) 933-3315","","41.14181","-87.86504","Illinois","Bradley Police Dept"
"Justice Police Department","","7800 Archer Rd Ste 1","Justice","IL","60458","(708) 458-2192","","41.74952","-87.83864","Illinois","Bridgeview Police Dept"
"La Grange Park Vlg Police Dept","","447 N Catherine Ave","La Grange Park","IL","60526","(708) 352-2151","","41.822334","-87.87376","Illinois","Brookfield Police Dept"
"Buffalo Grove Police Dept","","46 Raupp Blvd","Buffalo Grove","IL","60089","(847) 459-2560","","42.15343","-87.96691","Illinois","Buffalo Grove Police Dept"
"Burbank Police Dept","","5650 W 75th Pl","Burbank","IL","60459","(708) 924-7300","","41.75572","-87.76209","Illinois","Burbank Police Dept"
"Burr Ridge Police Department","","7770 S County Line Rd","Burr Ridge","IL","60527","(630) 323-8181","","41.747967","-87.915474","Illinois","Burr Ridge Police Dept"
"Criminal Investigation Div","","103 Main St","East Saint Louis","IL","62206","(618) 337-9509","","38.570988","-90.19105","Illinois","Cahokia Police Dept"
"Chicago City Police Department","","7808 S Halsted St","Chicago","IL","60620","(312) 745-3649","","41.752308","-87.64406","Illinois","Calumet City Police Dept"
"Canton Police Department","","2 N Main St # B","Canton","IL","61520","(309) 647-5131","","40.555714","-90.03522","Illinois","Canton Police Dept"
"City-Carbondale-Police Dept","","610 E College St","Carbondale","IL","62901","(618) 457-3200","","37.722233","-89.208145","Illinois","Carbondale Police Dept"
"Carol Stream Fire Dept","","365 Kuhn Rd","Carol Stream","IL","60188","(630) 668-4836","","41.91146","-88.14017","Illinois","Carol Stream Police Dept"
"Carpentersville Police Dept","","1200 Lw Besinger Dr # Front","Carpentersville","IL","60110","(847) 551-3481","","42.11767","-88.2646","Illinois","Carpentersville Police Dept"
"Cary Police Dept","","654 Village Hall Dr","Cary","IL","60013","(847) 639-2341","","42.204315","-88.25526","Illinois","Cary Police Dept"
"Centralia Police Dept","","222 S Poplar St","Centralia","IL","62801","(618) 533-7625","","38.52616","-89.13319","Illinois","Centralia Police Dept"
"Champaign Park District","","2802 Farber Dr","Champaign","IL","61822","(217) 352-6044","","40.14878","-88.26916","Illinois","Champaign County Sheriff Office"
"Champaign Fire Dept","","3911 Windsor Rd","Champaign","IL","61822","(217) 403-7370","","40.0841","-88.31081","Illinois","Champaign Police Dept"
"Channahon Fire Department","","24929 S Center St","Channahon","IL","60410","(815) 467-6767","","41.429905","-88.22362","Illinois","Channahon Police Dept"
"Charleston Police Dept","","614 6th St","Charleston","IL","61920","(217) 345-0060","","39.494396","-88.17552","Illinois","Charleston Police Dept"
"Chatham Police Dept","","117 E Mulberry St","Chatham","IL","62629","(217) 483-2453","","39.67532","-89.70434","Illinois","Chatham Police Dept"
